Price_USD_per_MWh,Quantity_MW,Hour,Day,Point,maxSOC_MWh,Hybrid_Name
1000,0.1000000001,23,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,0,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,0,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,1,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,1,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,2,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,2,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,3,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,3,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,4,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,4,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,5,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,5,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,6,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,6,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,7,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,7,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,8,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,8,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,9,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,9,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,10,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,10,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,11,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,11,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,12,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,12,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,13,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,13,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,14,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,14,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,15,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,15,4,2,240.0,HYB_DA_RT_C2
0.3712302653217674,-60.0,16.0,4,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,16,4,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,16.0,4,2,240.0,HYB_DA_RT_C2
0.4567148459640944,-47.463685,17.0,4,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,17,4,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,17.0,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,18,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,18,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,19,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,19,4,2,240.0,HYB_DA_RT_C2
